Balls,BattingOrder,Country,Fours,MatchId,Minutes,Name,OutMethod,Runs,SR,Sixes
5,1,India,2,T20I no. 2729,7,Rohit Sharma,c Klaasen b Maharaj,9,180.00,0
59,2,India,6,T20I no. 2729,87,Virat Kohli,c Rabada b Jansen,76,128.81,2
2,3,India,0,T20I no. 2729,2,Rishabh Pant,c †de Kock b Maharaj,0,0.00,0
4,4,India,0,T20I no. 2729,9,Suryakumar Yadav,c Klaasen b Rabada,3,75.00,0
31,5,India,1,T20I no. 2729,38,Axar Patel,run out (†de Kock),47,151.61,4
16,6,India,3,T20I no. 2729,32,Shivam Dube,c Miller b Nortje,27,168.75,1
2,7,India,1,T20I no. 2729,7,Hardik Pandya,,5,250.00,0
2,8,India,0,T20I no. 2729,1,Ravindra Jadeja,c Maharaj b Nortje,2,100.00,0
5,1,South Africa,1,T20I no. 2729,6,Reeza Hendricks, b Bumrah,4,80.00,0
31,2,South Africa,4,T20I no. 2729,54,Quinton de Kock,c Kuldeep Yadav b Arshdeep Singh,39,125.80,1
5,3,South Africa,1,T20I no. 2729,4,Aiden Markram,c †Pant b Arshdeep Singh,4,80.00,0
21,4,South Africa,3,T20I no. 2729,24,Tristan Stubbs, b Patel,31,147.61,1
27,5,South Africa,2,T20I no. 2729,33,Heinrich Klaasen,c †Pant b Pandya,52,192.59,5
17,6,South Africa,1,T20I no. 2729,37,David Miller,c Yadav b Pandya,21,123.52,1
4,7,South Africa,0,T20I no. 2729,7,Marco Jansen, b Bumrah,2,50.00,0
7,8,South Africa,0,T20I no. 2729,18,Keshav Maharaj,,2,28.57,0
3,9,South Africa,1,T20I no. 2729,5,Kagiso Rabada,c Yadav b Pandya,4,133.33,0
1,10,South Africa,0,T20I no. 2729,1,Anrich Nortje,,1,100.00,0
16,1,Canada,5,T20I no. 2632,24,Aaron Johnson,c Kumar b Harmeet Singh,23,143.75,0
44,2,Canada,6,T20I no. 2632,62,Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,138.63,3
7,3,Canada,0,T20I no. 2632,12,Pargat Singh,run out (Jasdeep Singh/†Patel),5,71.42,0
31,4,Canada,3,T20I no. 2632,43,Nicholas Kirton,c Anderson b Ali Khan,51,164.51,2
16,5,Canada,2,T20I no. 2632,29,Shreyas Movva,,32,200.00,2
5,6,Canada,1,T20I no. 2632,5,Dilpreet Bajwa,run out (Taylor/†Patel),11,220.00,1
1,7,Canada,0,T20I no. 2632,4,Dilon Heyliger,,1,100.00,0
2,1,United States of America,0,T20I no. 2632,2,Steven Taylor,lbw b Kaleem Sana,0,0.00,0
16,2,United States of America,2,T20I no. 2632,33,Monank Patel,c †Movva b Heyliger,16,100.00,0
46,3,United States of America,7,T20I no. 2632,76,Andries Gous,c Johnson b Dutta,65,141.30,3
40,4,United States of America,4,T20I no. 2632,56,Aaron Jones,,94,235.00,10
5,5,United States of America,0,T20I no. 2632,8,Corey Anderson,,3,60.00,0
5,1,Papua New Guinea,0,T20I no. 2633,7,Tony Ura,c †Pooran b Shepherd,2,40.00,0
22,2,Papua New Guinea,2,T20I no. 2633,26,Assad Vala,c Chase b Joseph,21,95.45,1
2,3,Papua New Guinea,0,T20I no. 2633,2,Lega Siaka, b Hosein,1,50.00,0
43,4,Papua New Guinea,6,T20I no. 2633,55,Sese Bau, b Joseph,50,116.27,1
6,5,Papua New Guinea,0,T20I no. 2633,10,Hiri Hiri,c Powell b Motie,2,33.33,0
14,6,Papua New Guinea,0,T20I no. 2633,22,Charles Amini,c †Pooran b Russell,12,85.71,0
18,7,Papua New Guinea,3,T20I no. 2633,23,Kiplin Doriga,,27,150.00,0
9,8,Papua New Guinea,1,T20I no. 2633,10,Chad Soper, b Russell,10,111.11,0
0,9,Papua New Guinea,0,T20I no. 2633,2,Alei Nao,run out (Joseph),0,-,0
2,10,Papua New Guinea,0,T20I no. 2633,3,Kabua Morea,,2,100.00,0
29,1,West Indies,7,T20I no. 2633,44,Brandon King,c Siaka b Vala,34,117.24,0
